,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,807","2,157","2,692","3,559","4,916","4,720","5,106","5,112","5,697","5,191","4,360","6,171","6,899"
Expenses +,"1,555","1,813","2,326","3,051","4,101","3,945","4,302","4,374","4,828","4,598","3,757","5,288","5,914"
Operating Profit,251,343,366,508,815,775,805,738,869,593,603,883,985
OPM %,14%,16%,14%,14%,17%,16%,16%,14%,15%,11%,14%,14%,14%
Other Income +,66,93,114,163,208,116,141,298,328,356,366,472,383
Interest,5,6,3,3,2,10,17,15,17,21,17,12,15
Depreciation,39,38,38,48,86,81,85,94,111,121,127,136,140
Profit before tax,274,392,439,619,935,799,843,927,"1,069",807,825,"1,207","1,214"
Tax %,33%,32%,32%,28%,19%,21%,22%,23%,31%,13%,23%,23%,
Net Profit,184,268,325,463,772,721,736,712,743,706,635,934,931
EPS in Rs,6.62,9.67,11.72,16.70,27.85,26.02,26.56,25.68,26.79,25.45,22.91,33.68,33.59
