,Jun 2007,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,61,167,209,292,297,264,428,435,544,383,930,"1,179","1,170"
Expenses +,52,136,179,249,249,244,368,356,454,371,788,"1,068","1,078"
Operating Profit,9,31,30,43,47,20,60,78,89,12,142,110,92
OPM %,14%,18%,14%,15%,16%,8%,14%,18%,16%,3%,15%,9%,8%
Other Income +,0,1,7,10,11,9,2,3,4,4,4,6,5
Interest,3,9,12,13,13,14,17,14,18,21,16,16,20
Depreciation,1,4,5,7,10,12,13,14,15,17,18,19,19
Profit before tax,4,18,20,34,36,3,33,54,60,-22,111,82,58
Tax %,10%,24%,14%,27%,26%,58%,35%,35%,25%,35%,32%,21%,
Net Profit,4,14,17,25,26,1,22,35,45,-14,76,65,44
EPS in Rs,3.75,9.85,11.03,16.39,15.70,0.64,11.78,18.96,24.53,-7.66,41.13,35.27,23.86
