,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,510,599,176,176,222,276,241,294,228,252,253,391,494
Expenses +,453,544,173,170,214,253,217,261,202,216,202,321,394
Operating Profit,58,56,3,6,8,23,24,34,25,36,51,70,100
OPM %,11%,9%,2%,4%,3%,8%,10%,11%,11%,14%,20%,18%,20%
Other Income +,3,1,673,27,24,32,36,27,27,4,23,21,-4
Interest,4,5,4,5,13,12,10,10,15,17,18,25,26
Depreciation,5,7,7,10,17,17,19,23,26,30,28,31,32
Profit before tax,52,45,665,18,2,26,31,27,10,-7,28,36,38
Tax %,21%,23%,22%,11%,117%,36%,30%,42%,35%,-45%,5%,9%,
Net Profit,41,35,521,17,-0,17,22,16,7,-10,26,32,35
EPS in Rs,26.94,22.88,342.68,10.64,-0.25,10.89,14.23,10.45,4.49,-6.71,17.20,21.37,22.46
