,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,617,654,768,875,678,650,595,571,684,650,538,156
Expenses +,600,641,744,846,655,650,613,564,670,640,578,192
Operating Profit,18,13,23,29,23,-0,-19,7,14,10,-40,-36
OPM %,3%,2%,3%,3%,3%,-0%,-3%,1%,2%,1%,-7%,-23%
Other Income +,4,8,1,2,2,2,9,1,4,3,-6,43
Interest,12,10,13,19,15,9,11,8,9,10,7,9
Depreciation,5,5,6,7,7,7,7,5,5,4,4,4
Profit before tax,4,5,6,5,4,-15,-28,-6,5,-2,-56,-7
Tax %,51%,26%,37%,30%,22%,32%,32%,45%,38%,18%,19%,145%
Net Profit,2,4,4,4,3,-10,-19,-3,3,-2,-46,3
EPS in Rs,2.92,5.86,5.78,5.45,4.26,-15.51,-29.15,-5.05,4.88,-2.49,-70.48,4.78
