,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,"2,931","3,396","2,423","2,441","2,958","3,431","1,850","1,730","1,911","1,337","1,716",548,510
Expenses +,"1,886","2,410","2,094","2,110","2,760","2,525","2,560","1,971","1,956","1,534","2,182",635,590
Operating Profit,"1,046",986,329,331,198,906,-710,-241,-46,-197,-466,-87,-80
OPM %,36%,29%,14%,14%,7%,26%,-38%,-14%,-2%,-15%,-27%,-16%,-16%
Other Income +,109,73,209,85,40,-712,111,38,-938,-40,-294,-317,-7
Interest,201,163,59,34,85,199,328,312,328,591,765,897,912
Depreciation,34,42,43,40,50,46,17,12,9,6,7,7,7
Profit before tax,919,854,436,342,103,-51,-944,-528,"-1,320",-834,"-1,531","-1,308","-1,006"
Tax %,26%,32%,44%,40%,55%,-220%,7%,17%,1%,5%,-3%,-19%,
Net Profit,678,578,245,205,46,-162,-880,-427,"-1,306",-794,"-1,583","-1,608","-1,058"
EPS in Rs,2.77,2.17,0.91,0.80,0.27,-0.49,-3.44,-1.54,-4.83,-3.02,-5.97,-6.09,-3.99
