,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,74,84,100,110,161,239,306,336,487,585
Expenses +,62,71,86,90,132,196,248,272,401,486
Operating Profit,11,13,14,20,29,43,58,64,87,99
OPM %,16%,15%,14%,18%,18%,18%,19%,19%,18%,17%
Other Income +,0,1,0,0,1,1,0,1,1,2
Interest,5,5,5,8,10,12,12,14,19,24
Depreciation,1,1,1,1,2,3,5,7,12,15
Profit before tax,6,8,8,12,17,29,41,44,57,62
Tax %,41%,37%,39%,33%,37%,28%,30%,29%,22%,
Net Profit,4,5,5,8,11,21,29,31,45,47
EPS in Rs,8.09,11.31,2.59,3.84,5.49,10.43,12.28,13.43,17.90,19.16
