,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14.07,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12
Reserves,177.29,285.47,187.97,150.53,92.60,58.30,32.94,3.21,17.58,-4.25,7.33,-9.00,-8.24
Borrowings +,153.37,151.88,213.89,192.87,237.49,277.80,295.01,267.14,230.15,235.31,206.82,209.73,209.73
Other Liabilities +,107.43,159.32,176.67,234.69,234.92,275.57,295.21,200.70,84.79,103.78,50.63,53.85,53.03
Total Liabilities,452.16,616.79,598.65,598.21,585.13,631.79,643.28,491.17,352.64,354.96,284.90,274.70,274.64
Fixed Assets +,153.20,180.45,225.25,230.87,236.52,217.71,199.71,181.79,26.06,22.95,7.30,5.25,4.19
CWIP,24.04,81.53,34.75,16.37,0.53,0.57,0.57,0.54,0.54,0.54,0.54,0.54,0.54
Investments,0.00,0.00,4.97,6.08,6.08,6.08,6.08,6.08,0.00,0.00,0.00,0.00,0.00
Other Assets +,274.92,354.81,333.68,344.89,342.00,407.43,436.92,302.76,326.04,331.47,277.06,268.91,269.91
Total Assets,452.16,616.79,598.65,598.21,585.13,631.79,643.28,491.17,352.64,354.96,284.90,274.70,274.64
