,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,38,40,40,44,44,42,41,41,43,87,87,181,181
Reserves,467,551,712,826,972,"1,096","1,321","1,538","2,587","2,892","3,416","5,733","4,507"
Borrowings +,528,628,849,"1,039","1,202","1,292","1,564","2,083","2,401","2,098","2,857","2,594","2,767"
Other Liabilities +,361,442,576,760,719,538,573,730,826,"1,256","1,282","1,164","1,185"
Total Liabilities,"1,395","1,660","2,176","2,670","2,938","2,966","3,499","4,391","5,858","6,332","7,642","9,673","8,641"
Fixed Assets +,412,443,674,826,967,"1,246","1,697","1,998","2,147","2,468","3,593","4,418","3,981"
CWIP,18,54,69,117,193,313,270,436,795,"1,418","1,298","1,490","1,392"
Investments,76,94,95,117,139,41,47,47,33,37,64,73,28
Other Assets +,888,"1,068","1,338","1,609","1,639","1,366","1,486","1,910","2,884","2,409","2,688","3,691","3,240"
Total Assets,"1,395","1,660","2,176","2,670","2,938","2,966","3,499","4,391","5,858","6,332","7,642","9,673","8,641"
