,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,211,240,208,200,226,239,245,283,276,256,253,260,313
Expenses +,191,218,194,184,215,223,224,255,265,255,241,241,284
Operating Profit,20,23,14,16,11,16,21,27,11,1,12,19,29
OPM %,9%,9%,7%,8%,5%,7%,9%,10%,4%,0%,5%,7%,9%
Other Income +,7,6,6,4,5,4,4,1,8,7,5,7,23
Interest,3,5,6,6,8,5,6,5,7,5,4,3,2
Depreciation,5,5,5,5,2,2,2,3,3,3,3,4,4
Profit before tax,18,18,10,9,6,13,16,21,9,-1,9,19,46
Tax %,40%,55%,45%,48%,12%,36%,40%,37%,16%,30%,31%,18%,
Net Profit,11,8,5,5,5,8,10,13,7,-0,6,15,39
EPS in Rs,13.74,10.40,6.68,6.10,6.38,10.53,12.68,16.51,9.29,-0.54,8.22,19.53,49.77
