,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,602,743,714,731,802,819,826,946,"1,093","1,294","1,208","1,497","1,742"
Expenses +,523,668,621,629,701,713,720,838,965,"1,142","1,039","1,287","1,516"
Operating Profit,78,75,93,102,101,106,106,108,128,152,169,210,226
OPM %,13%,10%,13%,14%,13%,13%,13%,11%,12%,12%,14%,14%,13%
Other Income +,15,10,14,12,23,24,29,35,24,40,33,40,49
Interest,1,3,5,3,2,2,3,4,4,5,3,5,5
Depreciation,21,22,24,27,28,28,29,31,40,46,42,44,44
Profit before tax,73,60,79,86,94,100,103,108,109,140,157,201,226
Tax %,32%,34%,30%,33%,34%,36%,33%,34%,34%,28%,40%,26%,
Net Profit,58,49,64,67,68,69,69,71,72,101,94,149,166
EPS in Rs,,14.06,18.27,19.18,19.66,19.75,19.69,20.37,20.57,28.94,26.94,42.92,47.75
