,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,022","1,130",897,"1,098","1,130",948,"1,157","1,285","1,206","1,291","1,307","1,226","1,151"
Expenses +,932,"1,047",699,814,"1,037","1,123",981,"1,007","1,029","1,079","1,058","1,024",980
Operating Profit,90,82,197,284,93,-176,176,278,177,212,250,202,171
OPM %,9%,7%,22%,26%,8%,-19%,15%,22%,15%,16%,19%,16%,15%
Other Income +,36,27,38,65,88,51,10,30,-165,176,190,120,115
Interest,19,27,47,89,82,79,65,66,59,32,3,0,1
Depreciation,46,54,81,147,186,206,276,249,242,247,251,148,123
Profit before tax,62,29,107,113,-88,-409,-155,-7,-288,110,186,174,162
Tax %,28%,35%,27%,34%,-38%,-5%,-21%,-139%,-4%,47%,-2%,2%,
Net Profit,44,19,78,75,-122,-431,-188,-17,-301,59,189,171,159
EPS in Rs,2.88,1.09,4.65,2.15,-8.08,-24.21,-10.74,-1.76,-5.81,1.47,4.15,3.69,3.35
