,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,148,239,267,290,261,274,311,328,339,396,485,559,587
Expenses +,122,149,184,216,214,235,269,295,297,339,414,454,457
Operating Profit,26,90,83,74,48,39,42,33,42,57,71,106,129
OPM %,17%,38%,31%,25%,18%,14%,14%,10%,12%,14%,15%,19%,22%
Other Income +,-0,1,0,1,2,1,5,13,4,7,8,10,10
Interest,5,6,6,2,4,1,2,3,5,6,4,5,5
Depreciation,3,4,4,5,6,6,7,7,11,14,15,14,13
Profit before tax,17,80,73,67,41,33,38,36,30,45,61,97,122
Tax %,34%,32%,34%,37%,35%,35%,36%,32%,30%,24%,25%,25%,
Net Profit,11,55,48,42,26,22,24,24,21,34,45,73,92
EPS in Rs,0.73,3.60,3.14,2.76,1.73,1.42,1.61,1.59,1.37,2.23,2.97,4.78,6.05
