,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,508","9,452","10,272","10,827","11,668","5,558","6,085","6,621","6,826","6,743","13,954","27,717","28,908"
Expenses +,"5,402","5,913","6,465","6,427","6,664","3,070","3,260","3,464","3,714","3,185","6,775","12,816","16,074"
Operating Profit,"3,106","3,540","3,807","4,400","5,004","2,488","2,825","3,157","3,112","3,558","7,179","14,901","12,834"
OPM %,37%,37%,37%,41%,43%,45%,46%,48%,46%,53%,51%,54%,44%
Other Income +,140,140,338,449,522,"1,679","1,960","1,599","1,559","1,846","1,262",458,358
Interest,433,407,394,400,290,33,39,46,53,335,836,"1,603","1,518"
Depreciation,"2,019","2,144","2,220","2,126","2,185","1,155","1,166","1,180","1,066","1,282","2,848","5,325","5,335"
Profit before tax,795,"1,128","1,531","2,323","3,052","2,979","3,580","3,529","3,553","3,788","4,757","8,431","6,338"
Tax %,31%,34%,35%,35%,35%,25%,23%,29%,30%,13%,21%,24%,
Net Profit,551,749,"1,002","1,518","1,992","2,247","2,747","2,494","2,494","3,299","3,779","6,373","4,748"
EPS in Rs,,,5.31,8.03,10.52,11.85,14.85,13.48,13.48,17.83,14.02,23.65,17.61
