,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,88,141,166,222,268,275,253,247,301,288,317,357,396
Expenses +,88,131,155,208,250,253,232,225,269,256,275,308,342
Operating Profit,-0,10,11,14,18,22,21,22,32,32,42,50,54
OPM %,-0%,7%,7%,6%,7%,8%,8%,9%,11%,11%,13%,14%,14%
Other Income +,8,0,0,0,1,1,3,1,0,2,3,3,2
Interest,2,2,3,4,3,3,3,4,4,3,2,2,2
Depreciation,3,3,3,3,5,6,5,5,6,6,6,8,9
Profit before tax,3,5,6,8,11,14,15,14,23,25,37,42,45
Tax %,20%,20%,31%,34%,36%,33%,34%,38%,34%,25%,24%,26%,
Net Profit,2,4,4,5,7,9,10,8,15,19,28,32,33
EPS in Rs,3.59,6.09,6.30,7.90,10.87,15.03,16.15,13.54,24.02,30.26,45.30,52.28,54.31
