,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,373.43,214.02,116.91,133.41,76.56,42.49,36.60,34.31,40.40,37.33,34.06,34.62,35.54
Expenses +,321.40,180.06,120.12,146.86,77.45,47.21,44.18,35.58,37.01,39.59,28.44,28.88,30.10
Operating Profit,52.03,33.96,-3.21,-13.45,-0.89,-4.72,-7.58,-1.27,3.39,-2.26,5.62,5.74,5.44
OPM %,13.93%,15.87%,-2.75%,-10.08%,-1.16%,-11.11%,-20.71%,-3.70%,8.39%,-6.05%,16.50%,16.58%,15.31%
Other Income +,6.59,3.91,4.39,4.80,6.33,10.89,10.21,6.55,2.25,0.35,-10.26,0.80,1.25
Interest,4.46,0.64,1.21,1.20,1.20,5.04,0.67,0.38,1.05,2.88,2.32,2.29,2.29
Depreciation,21.25,36.21,37.72,47.66,48.48,46.57,46.92,62.21,169.48,18.20,4.62,3.86,3.54
Profit before tax,32.91,1.02,-37.75,-57.51,-44.24,-45.44,-44.96,-57.31,-164.89,-22.99,-11.58,0.39,0.86
Tax %,4.28%,-53.92%,1.03%,-0.30%,-1.63%,-1.12%,-1.22%,-1.83%,-0.50%,-3.57%,-6.48%,115.38%,
Net Profit,31.50,1.57,-37.36,-57.68,-44.96,-45.95,-45.50,-58.36,-165.71,-23.80,-12.32,-0.05,0.20
EPS in Rs,0.31,0.02,-0.30,-0.35,-0.27,-0.28,-0.27,-0.34,-0.97,-0.14,-0.07,-0.00,0.00
