,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,343","1,782","1,874","1,948","1,747",873,797,683,600,484,450,560,636
Expenses +,"2,514","1,437","1,517","1,837","1,429",703,794,659,612,515,421,505,571
Operating Profit,"-1,170",345,357,110,317,171,3,24,-12,-31,29,55,65
OPM %,-87%,19%,19%,6%,18%,20%,0%,4%,-2%,-6%,7%,10%,10%
Other Income +,"2,037",77,52,92,156,-28,-59,20,218,24,15,67,13
Interest,242,117,180,523,537,294,347,310,7,6,52,33,28
Depreciation,155,134,154,252,325,145,141,133,130,118,109,87,86
Profit before tax,470,172,75,-573,-389,-296,-544,-399,69,-131,-117,2,-37
Tax %,28%,9%,-29%,2%,49%,6%,9%,12%,0%,0%,0%,0%,
Net Profit,339,156,97,-560,-197,-279,-495,-353,69,-131,-117,-2,-41
EPS in Rs,48.16,22.17,13.84,-79.21,-23.06,-31.37,-55.69,-39.65,7.80,-32.11,-28.55,-0.48,-10.01
