,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,933,"1,165","1,198","1,157","1,578","1,329","1,279","1,325","1,342","1,085","1,107","1,343","1,512"
Expenses +,818,"1,017","1,092","1,012","1,390","1,152","1,064","1,097","1,115",953,979,"1,177","1,326"
Operating Profit,115,147,106,145,189,178,215,228,227,132,128,166,185
OPM %,12%,13%,9%,13%,12%,13%,17%,17%,17%,12%,12%,12%,12%
Other Income +,19,3,0,5,18,18,11,11,14,11,-33,7,13
Interest,12,23,27,25,33,26,17,7,6,4,3,5,5
Depreciation,52,57,65,69,93,78,79,77,86,93,84,87,85
Profit before tax,69,70,14,56,79,91,130,155,149,47,8,81,108
Tax %,30%,32%,87%,36%,36%,40%,36%,38%,36%,17%,37%,27%,
Net Profit,49,48,2,36,51,55,84,96,96,39,5,59,81
EPS in Rs,7.19,7.11,-1.21,4.88,7.10,8.56,15.05,15.88,15.71,5.84,0.10,9.71,13.58
