,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,64,41,50,122,141,78,124,222,194,273,229,260,184
Expenses +,59,48,54,124,146,101,140,182,161,207,173,194,168
Operating Profit,6,-6,-4,-2,-6,-24,-16,41,33,67,55,66,16
OPM %,9%,-15%,-9%,-2%,-4%,-30%,-13%,18%,17%,24%,24%,25%,9%
Other Income +,-3,4,6,2,6,27,21,-7,1,-3,-7,3,-3
Interest,1,2,3,9,9,11,8,6,6,3,1,1,1
Depreciation,9,9,9,14,18,18,15,17,19,20,23,28,26
Profit before tax,-7,-13,-10,-23,-27,-25,-18,10,9,41,25,41,-14
Tax %,-2%,32%,1%,-0%,-0%,-7%,-1%,2%,1%,28%,8%,5%,
Net Profit,-8,-9,-10,-23,-27,-27,-18,10,9,29,23,39,-14
EPS in Rs,-4.93,-5.90,-6.71,-10.50,-12.10,-12.12,-6.98,2.71,2.39,7.68,5.93,10.11,-3.62
