,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,384,427,413,261,234,185,232,284,226,176,37,138,164
Expenses +,336,389,376,251,224,172,212,253,196,203,90,164,139
Operating Profit,48,37,38,10,10,13,20,31,30,-26,-53,-26,25
OPM %,13%,9%,9%,4%,4%,7%,9%,11%,13%,-15%,-141%,-19%,15%
Other Income +,3,-1,2,5,3,11,4,8,7,25,13,9,-84
Interest,12,10,18,19,26,33,34,36,33,32,30,29,36
Depreciation,1,1,1,1,1,2,6,6,5,4,4,3,3
Profit before tax,37,25,21,-6,-13,-11,-15,-3,-2,-38,-73,-49,-98
Tax %,32%,25%,37%,-36%,16%,7%,22%,-45%,170%,10%,24%,14%,
Net Profit,25,19,13,-8,-11,-10,-12,-5,1,-34,-56,-42,-106
EPS in Rs,2.11,1.58,1.08,-0.66,-0.94,-0.82,-0.99,-0.40,0.10,-2.86,-4.63,-3.49,-8.87
