,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,81,107,127,173,252,239,402,540,649,863,"1,061","1,269","1,371"
Expenses +,73,96,105,137,192,175,276,345,417,603,732,874,962
Operating Profit,8,11,22,36,60,64,125,195,232,260,329,395,409
OPM %,10%,10%,18%,21%,24%,27%,31%,36%,36%,30%,31%,31%,30%
Other Income +,4,3,2,4,3,4,10,13,19,41,23,38,51
Interest,1,1,1,1,1,0,1,1,1,0,2,1,0
Depreciation,2,1,2,4,8,7,13,19,23,32,37,47,46
Profit before tax,8,11,22,36,53,60,121,188,227,269,314,386,414
Tax %,23%,28%,37%,27%,23%,24%,21%,23%,22%,20%,20%,20%,
Net Profit,6,8,14,26,41,46,96,145,177,215,251,308,338
EPS in Rs,0.83,1.06,1.85,3.42,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,43.62
