,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,459,569,666,761,834,925,981,"1,021","1,048","1,114","1,322","1,564","1,679"
Expenses +,375,465,546,628,716,774,814,862,908,955,"1,083","1,346","1,453"
Operating Profit,84,104,119,132,119,151,167,159,141,160,239,218,226
OPM %,18%,18%,18%,17%,14%,16%,17%,16%,13%,14%,18%,14%,13%
Other Income +,-13,6,-1,12,25,10,12,13,21,-28,36,6,18
Interest,11,29,23,18,19,22,6,5,16,26,20,19,19
Depreciation,15,17,17,19,29,30,19,24,31,52,62,72,77
Profit before tax,46,63,79,109,94,110,153,143,115,54,194,132,147
Tax %,31%,33%,31%,27%,26%,34%,31%,35%,24%,34%,26%,-13%,
Net Profit,32,42,62,79,70,73,105,94,88,36,144,149,94
EPS in Rs,"2,697.44","7,533.72","5,134.66","5,980.35",5.32,5.05,7.25,6.49,6.12,2.53,10.24,10.73,6.50
