,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,250,577,337,161,256,207,75,29,100,210
Expenses +,216,523,332,155,233,195,45,-10,66,181
Operating Profit,34,54,5,6,23,13,30,39,34,29
OPM %,13%,9%,1%,4%,9%,6%,40%,133%,34%,14%
Other Income +,10,1,3,8,1,5,5,1,8,3
Interest,3,3,3,8,11,13,10,10,10,9
Depreciation,0,1,2,4,5,6,1,1,3,3
Profit before tax,40,51,3,2,8,-2,24,28,28,19
Tax %,14%,24%,53%,391%,108%,-456%,42%,44%,47%,66%
Net Profit,35,39,1,-6,-1,-10,14,16,15,7
EPS in Rs,15.76,17.82,1.92,0.31,2.92,0.17,5.44,6.09,5.76,2.55
