,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,399,425,450,471,532,632,662,825,808,652,859,"1,056"
Expenses +,339,370,386,403,447,528,555,691,724,547,707,892
Operating Profit,60,55,64,69,85,104,106,134,84,105,152,164
OPM %,15%,13%,14%,15%,16%,16%,16%,16%,10%,16%,18%,16%
Other Income +,1,0,1,7,-12,21,16,3,13,1,9,25
Interest,40,34,36,31,25,18,29,6,23,14,12,20
Depreciation,16,17,18,20,20,19,22,22,30,32,35,36
Profit before tax,5,4,12,24,28,87,71,109,44,59,115,133
Tax %,-97%,51%,46%,60%,33%,38%,33%,33%,-6%,27%,26%,
Net Profit,9,2,6,10,19,54,48,73,47,43,85,99
EPS in Rs,5.78,1.40,3.97,5.98,10.98,21.30,19.00,28.56,18.26,16.80,32.96,38.43
