,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,277,302,332,370,380,480,387,446,588,534,589,545,566
Expenses +,257,279,309,345,360,442,357,416,558,489,522,505,587
Operating Profit,20,23,24,25,20,38,30,30,29,45,67,39,-21
OPM %,7%,8%,7%,7%,5%,8%,8%,7%,5%,8%,11%,7%,-4%
Other Income +,2,2,2,1,1,2,1,3,2,1,1,8,5
Interest,10,12,14,14,13,17,13,13,15,17,11,14,15
Depreciation,3,4,5,5,5,4,5,6,6,7,7,8,9
Profit before tax,9,8,6,7,4,18,12,14,10,21,49,25,-39
Tax %,36%,32%,42%,40%,41%,41%,35%,34%,40%,11%,26%,20%,
Net Profit,6,6,4,4,2,11,8,9,6,18,36,20,-41
EPS in Rs,1.14,1.16,0.75,0.88,0.42,2.17,1.64,1.85,1.21,3.73,7.27,4.02,-8.36
