,Dec 2005,Dec 2006,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,221,277,575,871,"1,252","1,462","1,484","1,240",341,205,187
Expenses +,150,180,353,519,697,784,795,684,551,320,256
Operating Profit,71,97,221,352,555,678,689,555,-210,-115,-69
OPM %,32%,35%,38%,40%,44%,46%,46%,45%,-61%,-56%,-37%
Other Income +,1,8,9,31,5,18,32,17,26,51,44
Interest,24,28,67,84,193,260,307,322,437,420,441
Depreciation,20,26,43,50,107,163,167,184,228,329,353
Profit before tax,28,51,120,248,260,273,247,65,-849,-813,-819
Tax %,25%,28%,23%,22%,23%,17%,15%,66%,19%,2%,
Net Profit,21,37,92,193,199,226,209,22,-690,-800,-915
EPS in Rs,,11.61,21.01,43.89,42.95,48.82,45.15,4.84,-148.90,-172.65,-164.97
