,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,509,513,670,928,909,890,"1,270","1,397"
Expenses +,426,433,567,783,784,746,"1,090","1,208"
Operating Profit,82,80,103,145,124,144,181,189
OPM %,16%,16%,15%,16%,14%,16%,14%,14%
Other Income +,0,3,3,0,1,2,1,1
Interest,16,13,7,8,14,9,11,11
Depreciation,27,24,25,35,42,41,50,49
Profit before tax,39,47,74,103,70,96,121,129
Tax %,34%,37%,31%,36%,24%,26%,26%,
Net Profit,26,30,51,66,53,71,89,95
EPS in Rs,17.10,13.78,23.69,30.67,24.57,32.90,41.35,44.35
