,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,626,910,"1,053","1,073","1,276","1,449","1,580","1,916","2,462","2,237","2,516","3,948","5,517"
Expenses +,505,739,870,868,"1,022","1,144","1,256","1,505","1,960","1,803","2,001","3,199","4,494"
Operating Profit,121,171,183,205,254,304,324,412,502,434,515,748,"1,023"
OPM %,19%,19%,17%,19%,20%,21%,20%,21%,20%,19%,20%,19%,19%
Other Income +,27,19,4,1,-2,13,13,12,9,41,21,19,21
Interest,13,24,18,20,18,20,27,33,50,55,45,50,62
Depreciation,8,13,17,22,31,33,39,51,59,85,94,109,118
Profit before tax,128,154,152,164,203,264,271,340,402,336,397,607,864
Tax %,35%,28%,17%,21%,23%,33%,28%,31%,31%,17%,27%,25%,
Net Profit,83,101,126,130,156,178,195,234,277,279,288,455,651
EPS in Rs,8.73,11.69,12.85,13.09,16.29,18.08,20.61,24.37,28.91,29.55,30.54,48.77,68.13
