,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,30,36,42,44,48,44,42,42,45,43,41
Expenses +,12,15,17,18,25,27,26,21,28,30,26
Operating Profit,18,22,26,26,23,17,15,21,17,13,14
OPM %,59%,60%,60%,60%,48%,38%,37%,49%,37%,30%,35%
Other Income +,-0,0,0,0,2,1,0,0,1,1,1
Interest,2,2,2,3,14,14,18,25,27,30,26
Depreciation,3,3,2,2,10,10,9,12,12,12,12
Profit before tax,13,17,21,22,2,-7,-11,-16,-21,-28,-22
Tax %,34%,35%,31%,30%,462%,-17%,-13%,-7%,-10%,-6%,
Net Profit,8,11,15,16,-6,-8,-13,-17,-23,-29,-24
EPS in Rs,7.63,10.00,13.19,14.13,-5.29,-7.14,-11.84,-15.42,-21.49,-26.96,-22.00
