,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,797,906,947,966,"1,135","1,151","1,263","1,431","1,598","1,580","1,638","2,013","2,333"
Expenses +,659,745,794,821,954,966,"1,070","1,183","1,326","1,315","1,314","1,612","1,870"
Operating Profit,137,161,153,145,181,184,193,248,272,265,324,400,463
OPM %,17%,18%,16%,15%,16%,16%,15%,17%,17%,17%,20%,20%,20%
Other Income +,10,11,10,12,17,22,31,26,35,40,51,53,55
Interest,3,3,3,3,3,2,2,2,2,4,3,4,5
Depreciation,21,21,24,32,42,43,42,45,45,58,54,53,55
Profit before tax,123,148,136,122,154,161,180,227,260,243,317,396,458
Tax %,33%,31%,28%,31%,32%,34%,33%,34%,35%,24%,25%,25%,
Net Profit,83,103,97,84,104,106,121,151,169,184,238,295,343
EPS in Rs,7.55,9.30,8.79,7.58,9.32,9.51,10.78,13.53,15.10,16.48,21.60,26.70,30.88
