,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,741,"1,056","1,393","2,014","2,217","2,610","3,751","3,920"
Expenses +,663,932,"1,185","1,710","1,864","2,125","3,040","3,187"
Operating Profit,78,124,208,305,353,484,711,733
OPM %,11%,12%,15%,15%,16%,19%,19%,19%
Other Income +,2,3,5,14,14,6,6,17
Interest,16,19,40,49,60,94,118,132
Depreciation,18,26,54,75,76,84,85,88
Profit before tax,46,83,119,194,231,312,515,531
Tax %,35%,36%,29%,34%,28%,24%,26%,
Net Profit,30,53,84,127,167,237,380,396
EPS in Rs,16.75,29.64,12.93,19.54,25.57,36.31,58.31,60.74
