,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,49,33,33,29,33,43,54,63,92,101,116,132,143
Expenses +,46,23,21,33,30,35,41,46,72,81,89,108,121
Operating Profit,3,11,12,-4,4,8,13,17,20,20,28,24,23
OPM %,7%,33%,36%,-15%,10%,18%,24%,28%,22%,20%,24%,18%,16%
Other Income +,3,5,14,33,8,7,4,3,4,8,23,6,7
Interest,1,3,2,2,2,2,1,1,2,1,1,1,0
Depreciation,4,9,17,26,13,12,12,12,15,16,22,12,11
Profit before tax,1,4,7,1,-4,1,4,7,7,12,27,16,18
Tax %,4%,6%,7%,11%,5%,-60%,-19%,14%,9%,7%,1%,1%,
Net Profit,1,4,7,1,-4,2,5,6,7,11,27,16,18
EPS in Rs,0.89,3.36,5.65,0.51,-3.17,1.35,3.82,4.72,5.17,8.53,20.21,12.01,13.09
