,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,193,611,438,463,465,412,563,520,406
Expenses +,145,522,363,369,375,332,442,405,371
Operating Profit,47,89,75,93,90,80,121,115,36
OPM %,25%,15%,17%,20%,19%,19%,22%,22%,9%
Other Income +,5,4,1,2,3,5,3,5,4
Interest,8,17,16,15,12,12,11,19,19
Depreciation,5,19,19,20,19,22,22,32,32
Profit before tax,40,56,42,60,62,51,91,68,-12
Tax %,36%,26%,14%,33%,34%,36%,33%,1%,
Net Profit,25,41,28,32,40,32,63,62,0
EPS in Rs,2.55,4.83,3.36,3.75,4.73,3.73,7.38,7.35,0.04
