,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,28,36,51,85,90,111,138,81,56,38,27
Expenses +,17,20,31,60,62,68,102,66,68,40,22
Operating Profit,10,16,20,26,28,44,36,16,-12,-1,5
OPM %,38%,43%,39%,30%,31%,39%,26%,19%,-22%,-4%,18%
Other Income +,2,3,3,1,2,-4,11,3,22,-10,-43
Interest,1,1,3,7,10,11,22,25,20,10,11
Depreciation,1,2,2,5,5,8,9,10,33,19,18
Profit before tax,10,15,18,14,15,20,16,-16,-42,-41,-67
Tax %,2%,3%,14%,-2%,1%,4%,36%,-9%,-8%,-5%,-0%
Net Profit,10,15,16,14,15,19,10,-18,-46,-42,-67
EPS in Rs,,2.56,2.72,2.43,2.52,3.26,1.54,-2.21,-5.79,-5.37,-8.44
