,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,1,10,8,1,142,153,401,299,210,216,249
Expenses +,3,10,9,4,173,172,248,116,163,266,77
Operating Profit,-2,-0,-1,-3,-32,-18,153,184,46,-50,172
OPM %,-312%,-1%,-11%,-388%,-22%,-12%,38%,61%,22%,-23%,69%
Other Income +,2,0,33,4,1,98,48,34,35,-133,-124
Interest,17,51,41,50,31,44,205,193,167,182,183
Depreciation,0,0,0,0,0,0,34,36,39,43,50
Profit before tax,-17,-51,-8,-50,-62,35,-37,-12,-125,-408,-185
Tax %,0%,0%,0%,0%,-1%,33%,-16%,-9%,5%,5%,
Net Profit,-17,-61,-26,-93,-62,23,-44,-13,-119,-389,-324
EPS in Rs,-16.88,-60.76,-26.42,-92.54,-11.40,2.78,-4.56,-1.90,-13.61,-44.83,-39.05
