,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,692","4,853","6,412","7,599","8,273","8,424","9,268","9,847","10,314","9,911","11,029","12,276","12,735"
Expenses +,"3,034","3,991","5,417","6,430","6,894","6,766","7,361","7,763","8,183","7,757","8,629","9,869","10,541"
Operating Profit,658,863,995,"1,169","1,379","1,657","1,907","2,084","2,132","2,154","2,399","2,407","2,194"
OPM %,18%,18%,16%,15%,17%,20%,21%,21%,21%,22%,22%,20%,17%
Other Income +,93,252,194,62,73,-262,76,283,362,32,23,80,83
Interest,49,73,87,120,112,128,154,173,238,228,138,122,142
Depreciation,50,64,77,82,91,101,142,156,170,197,204,210,214
Profit before tax,653,977,"1,025","1,030","1,249","1,167","1,687","2,039","2,085","1,760","2,080","2,155","1,921"
Tax %,21%,23%,17%,20%,22%,29%,22%,20%,-12%,15%,17%,17%,
Net Profit,515,751,845,819,976,831,"1,308","1,634","2,342","1,497","1,721","1,783","1,595"
EPS in Rs,5.30,7.12,7.80,7.44,8.88,8.10,12.76,15.99,22.91,14.64,16.83,17.44,15.59
