,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,44,43,50,57,64,74,76,75,69,52,19,26,32
Expenses +,41,46,35,39,43,60,64,64,66,56,39,36,36
Operating Profit,3,-3,15,18,21,14,12,11,3,-4,-20,-10,-4
OPM %,8%,-6%,29%,32%,32%,19%,16%,14%,4%,-8%,-101%,-39%,-12%
Other Income +,-8,3,-1,0,2,-52,3,3,3,-24,2,5,4
Interest,5,6,6,5,3,7,11,10,9,11,12,16,18
Depreciation,12,12,12,12,14,14,12,11,11,13,10,9,9
Profit before tax,-21,-17,-5,1,6,-58,-8,-8,-14,-51,-39,-31,-26
Tax %,-8%,12%,-49%,174%,65%,-64%,0%,-0%,0%,-0%,-0%,-0%,
Net Profit,-23,-11,-7,-2,0,-85,-8,-8,-14,-51,-39,-31,-26
EPS in Rs,-3.93,-2.10,-0.91,-0.29,0.02,-13.02,-0.39,-0.74,-1.26,-4.04,-3.21,-2.54,-2.20
