,Mar 2006,Mar 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,543,706,"1,413","1,812","2,136","2,523","2,090","1,662",450
Expenses +,402,511,"1,039","1,333","1,541","1,826","1,465","1,221",716
Operating Profit,141,195,374,480,595,697,625,441,-266
OPM %,26%,28%,26%,26%,28%,28%,30%,27%,-59%
Other Income +,11,21,14,99,-10,45,70,-48,-14
Interest,21,42,123,224,228,343,415,612,806
Depreciation,4,6,15,39,68,110,117,105,99
Profit before tax,127,168,250,316,288,289,163,-324,"-1,185"
Tax %,34%,31%,32%,31%,32%,34%,41%,30%,24%
Net Profit,84,116,171,218,197,191,96,-227,-901
EPS in Rs,16.44,22.84,33.61,42.83,38.10,36.49,19.64,-43.60,-167.33
