,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,474","4,004","3,783","4,018","4,540","4,593","4,822","5,589","7,100","7,209","8,400","12,434","14,518"
Expenses +,"2,573","3,170","3,169","3,513","3,822","3,630","3,852","4,683","5,803","5,754","6,267","9,330","10,924"
Operating Profit,901,835,614,505,717,963,969,906,"1,297","1,455","2,133","3,103","3,593"
OPM %,26%,21%,16%,13%,16%,21%,20%,16%,18%,20%,25%,25%,25%
Other Income +,46,28,42,24,65,28,73,115,78,152,66,116,60
Interest,90,117,100,96,138,130,102,124,198,201,134,116,142
Depreciation,170,184,209,225,245,275,283,316,358,389,453,517,534
Profit before tax,687,562,348,208,399,585,657,582,818,"1,018","1,612","2,586","2,978"
Tax %,30%,33%,27%,22%,24%,27%,22%,21%,22%,-0%,26%,27%,
Net Profit,484,379,253,162,303,430,515,462,642,"1,019","1,198","1,889","2,200"
EPS in Rs,,13.19,8.81,5.66,10.55,14.97,17.94,16.08,22.33,35.46,40.44,63.72,74.22
