,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,364,502,651,717,881,932,976,"1,138","1,081","1,139","1,242","1,462","1,815"
Expenses +,299,415,529,574,709,727,744,899,836,853,945,"1,131","1,452"
Operating Profit,65,87,121,143,171,205,232,239,245,286,298,331,363
OPM %,18%,17%,19%,20%,19%,22%,24%,21%,23%,25%,24%,23%,20%
Other Income +,10,2,2,3,3,1,1,5,3,4,3,4,4
Interest,16,15,21,17,14,11,11,8,8,18,17,16,20
Depreciation,19,20,29,29,27,28,33,34,32,47,49,57,65
Profit before tax,39,54,74,100,134,167,189,202,209,225,235,261,283
Tax %,33%,33%,36%,35%,30%,27%,29%,27%,26%,26%,22%,22%,
Net Profit,26,36,47,64,94,122,135,148,155,166,182,204,222
EPS in Rs,1.99,2.72,3.57,4.84,7.06,9.18,10.12,11.14,11.64,12.47,13.70,15.36,16.66
