,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,195","2,691","3,203","4,172","4,636","6,687","5,816","5,950","7,673","7,939","8,005","8,508","8,875"
Expenses +,"1,807","2,189","2,506","3,216","3,616","3,954","4,438","4,601","5,690","5,769","5,524","6,077","6,387"
Operating Profit,389,502,697,955,"1,020","2,733","1,377","1,349","1,983","2,170","2,480","2,431","2,488"
OPM %,18%,19%,22%,23%,22%,41%,24%,23%,26%,27%,31%,29%,28%
Other Income +,55,-22,1,34,286,32,223,299,-300,121,57,-288,-333
Interest,39,39,34,59,175,184,206,308,504,451,353,255,243
Depreciation,63,82,83,87,191,238,307,409,618,654,658,662,647
Profit before tax,342,359,582,844,940,"2,343","1,088",931,562,"1,187","1,526","1,226","1,265"
Tax %,21%,20%,25%,21%,20%,26%,14%,27%,22%,14%,18%,37%,
Net Profit,270,286,435,664,751,"1,733",934,678,436,"1,025","1,252",777,797
EPS in Rs,7.98,8.39,12.79,19.62,22.19,51.22,27.59,20.04,12.89,30.28,36.99,22.97,23.55
