,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,277,578,803,"1,062",915,"1,031","1,124","1,272","1,385","1,589","1,596","1,708"
Expenses +,213,468,659,801,712,830,899,982,"1,053","1,275","1,186","1,249"
Operating Profit,65,110,144,261,203,202,225,290,332,314,410,460
OPM %,23%,19%,18%,25%,22%,20%,20%,23%,24%,20%,26%,27%
Other Income +,12,31,60,8,29,14,13,18,25,86,27,34
Interest,10,19,34,49,39,56,73,79,92,90,94,65
Depreciation,12,26,47,63,59,69,77,84,109,151,109,168
Profit before tax,55,96,123,157,134,91,88,145,156,159,233,261
Tax %,6%,4%,2%,7%,13%,12%,35%,31%,30%,25%,27%,
Net Profit,51,92,120,146,117,80,57,100,109,120,171,172
EPS in Rs,,12.70,15.02,18.12,14.55,9.91,7.03,12.43,13.54,14.85,21.20,10.65
