,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,437","1,958","2,167","2,509","2,688","3,060","3,014","4,634","6,166","3,556","3,249","2,802","2,558"
Expenses +,"1,181","1,430","1,587","1,885","1,955","2,035","2,046","3,310","4,112","1,438","1,200","1,145","1,143"
Operating Profit,255,528,580,624,733,"1,025",968,"1,324","2,055","2,119","2,050","1,657","1,415"
OPM %,18%,27%,27%,25%,27%,34%,32%,29%,33%,60%,63%,59%,55%
Other Income +,105,58,110,-52,63,64,61,46,"-1,521","-1,915",-797,"-2,643","-2,632"
Interest,153,197,128,133,175,209,229,396,629,565,418,325,304
Depreciation,400,522,628,597,614,591,691,"1,072","1,441","1,426","1,532","1,071",928
Profit before tax,-192,-133,-66,-158,7,290,109,-98,"-1,536","-1,787",-698,"-2,381","-2,449"
Tax %,0%,0%,-0%,-0%,57%,-139%,25%,13%,24%,7%,-71%,22%,
Net Profit,-192,-133,-66,-158,3,692,82,-85,"-1,163","-1,655","-1,190","-1,867","-1,912"
EPS in Rs,-1.80,-1.25,-0.62,-1.48,0.03,6.50,0.86,-0.41,-6.22,-8.90,-6.40,-9.95,-10.19
