,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,322,369,471,496,497,521,453,330,265,153,48,57,67
Expenses +,221,244,306,357,363,388,345,275,218,140,51,88,102
Operating Profit,101,126,165,139,134,133,108,56,46,13,-4,-31,-35
OPM %,31%,34%,35%,28%,27%,25%,24%,17%,18%,8%,-7%,-55%,-52%
Other Income +,2,3,4,1,3,12,4,2,2,1,6,24,27
Interest,21,34,58,66,65,65,53,51,51,52,29,18,8
Depreciation,29,31,41,46,40,43,45,48,45,49,19,17,16
Profit before tax,53,63,70,28,32,37,13,-41,-47,-87,-45,-41,-32
Tax %,20%,21%,20%,39%,16%,27%,63%,-19%,-15%,-6%,-8%,-5%,
Net Profit,42,50,56,17,27,27,5,-48,-54,-92,-49,-44,-34
EPS in Rs,4.70,5.54,6.27,1.05,1.64,1.65,0.30,-2.95,-3.28,-5.64,-2.99,-2.67,-2.08
