,Mar 2011,Dec 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,709.25,10.54,14.02,17.33,16.40,15.15,15.43,13.60,10.54,10.97,9.66,10.06,11.05
Expenses +,598.37,9.26,15.44,19.84,18.21,14.86,15.36,13.39,10.28,9.45,7.31,7.68,8.57
Operating Profit,110.88,1.28,-1.42,-2.51,-1.81,0.29,0.07,0.21,0.26,1.52,2.35,2.38,2.48
OPM %,15.63%,12.14%,-10.13%,-14.48%,-11.04%,1.91%,0.45%,1.54%,2.47%,13.86%,24.33%,23.66%,22.44%
Other Income +,1.73,0.99,1.56,1.01,0.57,1.12,1.01,4.18,0.96,1.24,1.72,1.35,3.63
Interest,29.28,0.00,0.00,0.16,0.41,0.61,0.62,0.25,0.00,0.72,0.12,0.09,0.11
Depreciation,29.16,0.28,0.50,0.97,1.01,0.97,0.85,1.07,0.53,0.55,0.62,0.62,0.57
Profit before tax,54.17,1.99,-0.36,-2.63,-2.66,-0.17,-0.39,3.07,0.69,1.49,3.33,3.02,5.43
Tax %,0.81%,40.20%,-213.89%,-16.73%,6.77%,-258.82%,-151.28%,22.80%,75.36%,55.03%,22.52%,28.81%,
Net Profit,53.73,-9.24,4.00,-49.52,-155.79,-275.64,-145.56,2.38,0.18,0.67,2.57,2.15,4.40
EPS in Rs,43.01,-7.40,3.91,-39.11,-124.12,-219.94,-116.15,1.90,0.14,0.53,2.04,1.71,3.49
