,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,195,160,257,299,322,288,256,118,93,85,74,86
Expenses +,164,157,311,283,310,266,231,118,91,80,75,73
Operating Profit,31,3,-54,16,12,22,25,0,2,5,-1,13
OPM %,16%,2%,-21%,5%,4%,8%,10%,0%,3%,6%,-2%,15%
Other Income +,16,12,126,4,23,26,5,3,-1,4,5,2
Interest,10,7,9,12,25,27,34,30,30,13,2,7
Depreciation,4,5,8,11,15,23,26,21,19,17,17,19
Profit before tax,34,4,56,-3,-4,-2,-30,-48,-48,-21,-16,-10
Tax %,25%,38%,20%,-128%,-70%,-112%,-3%,9%,0%,0%,0%,-0%
Net Profit,25,2,45,-7,-8,-4,-31,-43,-48,-21,-16,-10
EPS in Rs,8.37,0.88,14.64,-2.35,-2.44,-1.16,-10.10,-13.15,-15.71,-6.83,-5.07,-3.34
