,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,3,548,688,740,764,833,931,"1,135","1,402","1,548",986,"1,576","2,042"
Expenses +,2,484,625,693,745,786,881,"1,050","1,277","1,329",925,"1,379","1,717"
Operating Profit,1,64,63,48,19,48,50,84,125,219,61,197,325
OPM %,30%,12%,9%,6%,2%,6%,5%,7%,9%,14%,6%,13%,16%
Other Income +,-3,4,3,1,12,28,17,11,8,-8,34,20,24
Interest,0,0,1,5,10,15,15,15,18,81,85,83,86
Depreciation,0,25,31,44,50,58,64,67,80,138,140,136,142
Profit before tax,-2,43,33,1,-29,3,-12,13,35,-9,-129,-2,122
Tax %,-6%,1%,0%,-45%,-0%,8%,0%,0%,39%,16%,23%,19%,
Net Profit,-2,42,33,1,-29,3,-12,13,21,-7,-99,-2,91
EPS in Rs,-0.09,1.96,2.33,0.06,-1.87,0.18,-0.78,0.83,1.37,-0.47,-6.38,-0.11,5.85
