,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,791,816,"1,045","1,062","1,058","1,178","1,294","1,332","1,420","1,800","2,088","2,191","2,232"
Expenses +,702,693,896,904,873,983,"1,075","1,063","1,131","1,365","1,540","1,756","1,720"
Operating Profit,89,124,149,159,186,196,219,269,288,434,548,436,512
OPM %,11%,15%,14%,15%,18%,17%,17%,20%,20%,24%,26%,20%,23%
Other Income +,2,18,8,12,12,6,-10,17,9,26,14,55,42
Interest,26,42,54,74,64,68,75,63,51,40,56,43,61
Depreciation,17,51,69,75,75,80,75,77,91,95,97,89,112
Profit before tax,48,48,34,23,58,54,60,146,156,326,409,359,381
Tax %,23%,18%,13%,84%,51%,34%,23%,24%,25%,27%,28%,20%,
Net Profit,37,40,30,4,28,35,46,111,116,238,295,289,276
EPS in Rs,1.46,2.03,1.49,0.14,0.68,0.90,1.73,3.24,3.45,6.74,9.88,9.44,9.48
