,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,1,39,49,134,238,359,615,783,814,771,776,843,873
Expenses +,4,35,43,120,205,309,533,665,696,658,668,738,770
Operating Profit,-3,4,6,13,33,49,82,118,118,112,108,105,103
OPM %,-510%,11%,12%,10%,14%,14%,13%,15%,14%,15%,14%,12%,12%
Other Income +,0,0,1,0,2,1,4,3,5,4,5,1,2
Interest,0,0,1,3,6,9,10,16,19,16,13,12,12
Depreciation,0,1,1,2,3,3,4,5,7,13,13,11,12
Profit before tax,-4,3,4,8,26,39,71,99,97,87,87,83,81
Tax %,-1%,8%,17%,16%,14%,21%,25%,31%,21%,19%,18%,16%,
Net Profit,-4,3,4,6,22,31,53,68,77,71,71,70,70
EPS in Rs,-1.97,1.59,0.53,0.77,2.54,3.31,5.63,7.10,7.98,7.32,7.38,7.30,7.22
