,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,85.56,67.52,95.85,67.04,109.15,92.56,68.59,41.21,48.88,50.05,38.37,93.05,78.27
Expenses +,52.08,67.69,96.93,84.24,122.37,106.39,73.80,45.46,49.47,48.61,33.64,87.83,80.99
Operating Profit,33.48,-0.17,-1.08,-17.20,-13.22,-13.83,-5.21,-4.25,-0.59,1.44,4.73,5.22,-2.72
OPM %,39.13%,-0.25%,-1.13%,-25.66%,-12.11%,-14.94%,-7.60%,-10.31%,-1.21%,2.88%,12.33%,5.61%,-3.48%
Other Income +,0.79,4.30,2.89,4.56,0.69,7.72,4.94,6.49,4.84,3.37,1.06,2.14,2.48
Interest,27.24,2.76,1.99,1.34,5.92,14.46,15.92,18.62,15.46,5.12,5.96,5.14,3.73
Depreciation,4.38,3.91,3.33,3.58,6.38,6.41,5.75,5.07,4.25,4.13,3.99,4.11,4.09
Profit before tax,2.65,-2.54,-3.51,-17.56,-24.83,-26.98,-21.94,-21.45,-15.46,-4.44,-4.16,-1.89,-8.06
Tax %,170.57%,-259.06%,-102.28%,32.86%,0.64%,-9.12%,-9.30%,-3.54%,5.82%,-20.27%,-21.88%,-31.75%,
Net Profit,-1.94,-9.11,-13.02,-11.77,-24.44,-29.45,-23.97,-22.22,-14.56,-5.35,-5.07,-2.49,-8.21
EPS in Rs,-0.28,-1.30,-1.75,-1.74,-3.53,-4.08,-3.33,-3.17,-2.05,-0.75,-0.71,-0.35,-1.14
