,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,376","1,382","1,174","1,313","1,472",313,308,343,439,377,313,66,55
Expenses +,"1,249","1,302","1,088","1,199","1,320",319,281,305,387,441,344,188,142
Operating Profit,127,79,86,113,152,-6,27,38,52,-64,-31,-122,-87
OPM %,9%,6%,7%,9%,10%,-2%,9%,11%,12%,-17%,-10%,-184%,-159%
Other Income +,8,10,11,11,5,24,33,6,8,77,9,-249,-244
Interest,25,44,61,78,94,48,24,21,27,34,38,38,36
Depreciation,21,22,28,31,40,13,11,12,12,13,12,10,10
Profit before tax,90,24,8,15,22,-43,26,11,21,-34,-71,-418,-377
Tax %,33%,36%,47%,32%,79%,-1%,6%,33%,-11%,45%,4%,-3%,
Net Profit,60,15,4,10,5,-44,25,8,23,-18,-68,-431,-390
EPS in Rs,60.01,15.29,4.30,9.90,4.71,-43.46,24.67,7.56,23.09,-18.44,-68.27,-429.87,-389.04
