,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2014
Sales +,132,141,125,109,88,123,107,104,91
Expenses +,120,126,112,107,96,118,104,116,92
Operating Profit,12,15,13,2,-8,5,2,-12,-1
OPM %,9%,11%,10%,2%,-9%,4%,2%,-11%,-1%
Other Income +,3,3,6,2,20,4,14,1,1
Interest,5,7,8,17,8,9,13,15,3
Depreciation,3,3,5,7,8,10,9,9,8
Profit before tax,7,8,6,-19,-4,-10,-5,-34,-11
Tax %,11%,19%,21%,-1%,-1%,-0%,-15%,-0%,-0%
Net Profit,6,7,5,-19,-4,-10,-6,-34,-11
EPS in Rs,,3.17,2.31,-8.82,-1.90,-4.92,-2.93,-16.77,-5.22
