,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,348,763,809,749,784,834,"1,066","1,084","1,207","1,314","1,356"
Expenses +,292,689,797,863,771,763,943,967,"1,098","1,195","1,214"
Operating Profit,55,73,12,-113,13,71,123,117,109,119,141
OPM %,16%,10%,1%,-15%,2%,9%,12%,11%,9%,9%,10%
Other Income +,17,19,59,32,57,22,41,18,23,21,19
Interest,5,10,15,22,30,32,44,32,50,63,52
Depreciation,23,26,31,38,38,38,41,53,59,47,54
Profit before tax,43,57,24,-141,2,24,80,50,23,30,54
Tax %,15%,8%,-1%,3%,-88%,-13%,-26%,-5%,-32%,21%,
Net Profit,37,53,25,-137,4,27,101,53,30,24,45
EPS in Rs,,10.94,5.10,-28.38,0.78,5.49,18.25,9.37,5.34,3.95,7.23
