,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,595","1,960","1,543","1,349",834,860,924,"1,012",769,820,762,"1,158","1,183"
Expenses +,"1,474","1,884","1,436","1,296",816,792,834,927,713,799,699,"1,067","1,100"
Operating Profit,121,76,107,53,19,68,89,85,57,21,63,90,84
OPM %,8%,4%,7%,4%,2%,8%,10%,8%,7%,3%,8%,8%,7%
Other Income +,11,19,23,-65,31,23,0,31,5,-22,7,41,45
Interest,35,75,93,97,81,82,83,77,59,69,59,55,54
Depreciation,22,27,26,23,47,21,13,12,12,12,11,10,10
Profit before tax,75,-7,12,-132,-78,-12,-6,27,-10,-82,-1,66,65
Tax %,35%,18%,27%,36%,26%,48%,181%,23%,34%,23%,"-8,490%",33%,
Net Profit,49,-6,8,-85,-58,-6,5,21,-6,-63,-58,44,42
EPS in Rs,2.38,-0.27,0.41,-4.14,-2.82,-0.29,0.24,0.98,-0.28,-2.79,-2.59,1.95,1.85
