,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,442,614,778,790,"1,061","1,222","1,399","1,707","1,998","2,003","2,396","3,580","3,860"
Expenses +,362,492,639,630,878,941,"1,075","1,343","1,621","1,653","1,945","2,884","3,264"
Operating Profit,80,121,138,160,183,281,324,364,376,350,450,696,597
OPM %,18%,20%,18%,20%,17%,23%,23%,21%,19%,17%,19%,19%,15%
Other Income +,8,8,16,32,25,23,14,9,-22,-12,46,29,40
Interest,0,0,0,8,9,8,9,15,20,16,16,15,2
Depreciation,37,43,37,29,23,35,56,70,99,137,170,245,246
Profit before tax,51,86,118,155,175,261,272,287,235,185,309,464,388
Tax %,19%,21%,28%,29%,30%,33%,30%,34%,25%,11%,26%,25%,
Net Profit,41,68,84,111,123,175,190,191,176,165,229,349,314
EPS in Rs,22.96,7.62,9.35,12.31,13.63,19.41,21.11,21.14,19.55,18.25,25.40,38.71,34.80
