,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,402,419,388,416,539,622,775,849
Expenses +,327,338,320,368,464,549,637,671
Operating Profit,75,82,68,48,75,73,137,178
OPM %,19%,20%,18%,11%,14%,12%,18%,21%
Other Income +,2,0,1,4,4,-11,12,3
Interest,2,4,2,2,3,5,3,1
Depreciation,13,16,17,17,21,24,35,26
Profit before tax,62,62,51,32,55,33,112,155
Tax %,14%,6%,4%,-2%,30%,33%,36%,34%
Net Profit,53,58,49,33,35,21,72,102
EPS in Rs,8.48,9.34,7.84,5.22,5.55,3.42,11.60,16.38
