,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,021","1,076","1,221","1,420","1,335","1,300","1,155","1,018",601,215,265,98,113
Expenses +,890,"1,042","1,102","1,273","1,332","1,183","1,214",996,787,215,239,100,105
Operating Profit,130,33,119,147,3,118,-59,22,-186,-1,27,-2,8
OPM %,13%,3%,10%,10%,0%,9%,-5%,2%,-31%,-0%,10%,-2%,7%
Other Income +,-52,304,3,-13,4,-21,3,3,-84,-157,13,5,12
Interest,87,96,98,95,105,104,98,88,27,7,5,1,1
Depreciation,10,12,12,14,20,15,20,17,15,12,10,8,7
Profit before tax,-18,229,12,25,-119,-22,-174,-80,-312,-177,25,-6,13
Tax %,50%,18%,52%,6%,21%,-7%,41%,-1%,-34%,-4%,2%,-14%,
Net Profit,-9,189,6,23,-94,-24,-102,-80,-417,-184,24,-6,12
EPS in Rs,-3.19,66.91,2.04,6.56,-26.79,-6.79,-29.03,-22.80,-112.59,-49.56,6.54,-1.70,3.22
