,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,978,812,"1,578","1,799","3,131","3,915","4,546","4,363","2,546","1,328","2,853","3,208"
Expenses +,965,802,"1,554","1,782","3,080","3,865","4,480","4,272","2,528","1,312","2,821","3,169"
Operating Profit,13,10,25,17,51,50,65,91,18,16,33,39
OPM %,1%,1%,2%,1%,2%,1%,1%,2%,1%,1%,1%,1%
Other Income +,4,4,3,10,-1,12,11,7,10,5,7,6
Interest,6,4,6,3,12,16,17,9,2,5,4,5
Depreciation,1,1,1,1,1,1,0,1,1,2,2,2
Profit before tax,11,9,21,24,37,45,59,88,24,14,34,39
Tax %,31%,22%,16%,16%,14%,19%,16%,21%,25%,21%,19%,
Net Profit,8,7,18,20,32,36,49,70,18,11,27,30
EPS in Rs,0.45,0.39,0.99,1.19,1.96,2.21,2.30,3.27,0.86,0.47,1.17,1.30
