,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,177.36,74.18,43.36,4.64,0.00,0.00,0.00,0.95,1.45,1.18,1.46,10.86,6.03
Expenses +,190.37,165.83,67.23,30.85,6.17,-7.96,-1.73,0.41,0.79,1.26,0.90,3.43,2.90
Operating Profit,-13.01,-91.65,-23.87,-26.21,-6.17,7.96,1.73,0.54,0.66,-0.08,0.56,7.43,3.13
OPM %,-7.34%,-123.55%,-55.05%,-564.87%,,,,56.84%,45.52%,-6.78%,38.36%,68.42%,51.91%
Other Income +,-5.20,29.39,32.26,23.90,2.64,-2.13,0.02,0.00,-0.67,0.17,0.00,0.00,0.00
Interest,10.58,9.62,8.81,9.68,9.03,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,8.28,5.23,2.28,2.44,2.54,0.00,0.00,0.00,0.00,0.00,0.30,1.11,1.55
Profit before tax,-37.07,-77.11,-2.70,-14.43,-15.10,-1.17,1.75,0.54,-0.01,0.09,0.26,6.32,1.58
Tax %,43.65%,2.63%,-2.22%,-0.35%,0.00%,0.00%,0.00%,18.52%,"-2,000.00%",22.22%,26.92%,31.17%,
Net Profit,-20.89,-75.08,-2.75,-14.48,-15.10,-1.17,1.75,0.44,-0.21,0.06,0.19,4.34,-0.44
EPS in Rs,-15.48,-62.72,-2.22,-11.71,-12.21,-0.95,1.42,0.36,-0.17,0.05,0.12,2.81,-0.29
