,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,49,49,49,50,50,50,50,50,51,51,51,52
Reserves,608,723,823,983,"1,170","1,293","1,498",801,884,"1,044","1,280","1,526"
Borrowings +,1,0,2,6,106,121,4,0,0,0,0,0
Other Liabilities +,185,251,303,369,463,551,514,442,364,361,442,489
Total Liabilities,843,"1,024","1,178","1,407","1,789","2,015","2,065","1,293","1,299","1,455","1,774","2,066"
Fixed Assets +,208,234,265,293,528,563,409,235,161,200,217,240
CWIP,5,1,12,51,41,50,45,0,0,3,2,0
Investments,97,244,390,384,180,301,459,125,245,156,32,103
Other Assets +,533,544,510,680,"1,040","1,101","1,152",933,893,"1,097","1,523","1,723"
Total Assets,843,"1,024","1,178","1,407","1,789","2,015","2,065","1,293","1,299","1,455","1,774","2,066"
