,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,190,220,227,244,255,351,386,363,393,425,372,257
Expenses +,163,190,196,213,218,299,326,305,366,373,348,253
Operating Profit,27,30,32,31,38,52,60,58,27,53,24,4
OPM %,14%,14%,14%,13%,15%,15%,15%,16%,7%,12%,6%,2%
Other Income +,1,3,4,4,2,4,1,3,1,2,2,13
Interest,7,9,12,16,15,19,26,32,37,38,39,41
Depreciation,7,9,9,10,13,19,23,22,17,12,16,17
Profit before tax,14,16,15,8,11,18,12,7,-27,4,-29,-41
Tax %,39%,42%,38%,46%,39%,33%,21%,24%,-2%,29%,-14%,-0%
Net Profit,9,9,9,4,7,12,10,5,-28,3,-32,-40
EPS in Rs,8.72,8.17,8.55,3.91,6.32,11.21,8.81,4.79,-25.16,3.00,-29.52,-36.54
