,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"36,864","59,399","68,693","74,001","71,448","75,841","83,773","92,094","104,721","75,382","74,278","90,171","107,812"
Expenses +,"30,762","52,140","59,578","63,830","62,655","65,759","73,038","78,868","89,514","65,224","62,791","75,488","89,543"
Operating Profit,"6,102","7,259","9,116","10,170","8,793","10,082","10,735","13,226","15,207","10,158","11,487","14,683","18,269"
OPM %,17%,12%,13%,14%,12%,13%,13%,14%,15%,13%,15%,16%,17%
Other Income +,521,526,841,773,800,"1,399","2,077","4,366","2,676",885,"1,152","3,204","3,975"
Interest,"1,135","1,800","2,297","2,954","3,157","3,368","3,648","3,987","5,021","6,021","6,102","5,018","5,034"
Depreciation,972,"1,802","2,080","2,170","2,124","2,442","2,813","3,280","3,991","3,367","3,378","3,508","3,906"
Profit before tax,"4,515","4,184","5,580","5,820","4,313","5,672","6,350","10,326","8,871","1,655","3,158","9,362","13,303"
Tax %,29%,34%,35%,26%,40%,37%,36%,23%,32%,119%,52%,23%,
Net Profit,"3,175","3,060","4,129","5,154","3,381","3,554","4,051","7,958","6,017",-321,"1,512","7,253","10,475"
EPS in Rs,25.08,25.46,33.38,37.89,25.26,25.35,29.77,60.41,42.76,1.02,14.58,52.91,73.95
