,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"2,098","2,482","4,326","4,337","4,506","7,828","4,164","6,506","7,048","9,872","14,075","15,311"
Expenses +,"1,613","2,149","3,729","3,693","3,953","6,716","3,632","5,581","5,608","8,050","11,546","12,643"
Operating Profit,484,333,597,644,552,"1,112",532,925,"1,439","1,822","2,529","2,668"
OPM %,23%,13%,14%,15%,12%,14%,13%,14%,20%,18%,18%,17%
Other Income +,-70,175,6,102,30,84,80,113,99,102,214,239
Interest,21,36,100,74,70,203,90,177,77,523,851,788
Depreciation,208,236,288,337,392,481,207,353,364,530,946,856
Profit before tax,185,236,215,334,120,512,315,509,"1,096",871,945,"1,263"
Tax %,-22%,6%,38%,25%,21%,90%,33%,-1%,27%,26%,17%,21%
Net Profit,226,223,133,249,95,51,212,515,795,639,788,994
EPS in Rs,14.26,13.98,8.36,15.67,5.96,3.21,13.32,32.36,49.94,40.13,49.52,62.44
