,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,876,"1,195","1,400","1,555","1,277","1,267","1,742","2,093"
Expenses +,797,"1,106","1,273","1,438","1,230","1,236","1,667","1,991"
Operating Profit,79,89,127,117,47,31,75,102
OPM %,9%,7%,9%,8%,4%,2%,4%,5%
Other Income +,-2,11,9,10,12,7,52,18
Interest,19,30,34,35,38,28,21,22
Depreciation,41,57,61,66,66,66,81,86
Profit before tax,17,13,40,26,-45,-55,26,13
Tax %,27%,66%,40%,91%,-2%,-10%,58%,
Net Profit,13,4,24,2,-46,-61,11,-10
EPS in Rs,12.05,4.11,20.87,2.02,-36.26,-41.98,6.55,-6.35
