,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,397,448,461,466,469,510,579,527,667,763,937,951,"1,007"
Expenses +,349,401,402,395,402,430,472,477,608,661,790,807,838
Operating Profit,48,47,58,71,67,80,106,51,58,102,147,144,169
OPM %,12%,11%,13%,15%,14%,16%,18%,10%,9%,13%,16%,15%,17%
Other Income +,3,2,3,3,0,2,1,4,3,4,16,0,3
Interest,30,33,31,25,27,24,21,19,16,22,18,14,12
Depreciation,15,15,15,15,15,16,19,22,26,31,40,49,51
Profit before tax,5,1,16,35,25,42,67,14,20,53,105,82,109
Tax %,-7%,-210%,12%,23%,36%,36%,30%,13%,19%,69%,23%,22%,
Net Profit,5,3,14,27,16,27,47,12,16,16,81,64,83
EPS in Rs,5.94,2.88,15.57,30.12,17.96,30.75,52.74,13.57,12.81,12.63,62.85,49.74,64.82
